match_id,date,year,format,team,opponent,competition,stage,venue,city,result,winner,margin,margin_type,player_of_match,india_players
533291,2012-09-30,2012,T20I,India,Pakistan,ICC World Twenty20,,R Premadasa Stadium,Colombo,Won,India,8.0,wickets,V Kohli,"G Gambhir, V Sehwag, V Kohli, Yuvraj Singh, SK Raina, RG Sharma, MS Dhoni, IK Pathan, R Ashwin, Z Khan, L Balaji"
533295,2012-10-02,2012,T20I,India,South Africa,ICC World Twenty20,,R Premadasa Stadium,Colombo,Won,India,1.0,runs,Yuvraj Singh,"G Gambhir, V Sehwag, V Kohli, RG Sharma, Yuvraj Singh, SK Raina, MS Dhoni, IK Pathan, R Ashwin, L Balaji, Z Khan"
565806,2012-11-15,2012,Test,India,England,England in India Test Series,,"Sardar Patel Stadium, Motera",Ahmedabad,Won,India,9.0,wickets,CA Pujara,"G Gambhir, V Sehwag, CA Pujara, SR Tendulkar, V Kohli, Yuvraj Singh, MS Dhoni, R Ashwin, Z Khan, PP Ojha, UT Yadav"
565807,2012-11-23,2012,Test,India,England,England in India Test Series,,Wankhede Stadium,Mumbai,Lost,England,10.0,wickets,KP Pietersen,"G Gambhir, V Sehwag, CA Pujara, SR Tendulkar, V Kohli, Yuvraj Singh, MS Dhoni, R Ashwin, Harbhajan Singh, Z Khan, PP Ojha"
565808,2012-12-05,2012,Test,India,England,England in India Test Series,,Eden Gardens,Kolkata,Lost,England,7.0,wickets,AN Cook,"G Gambhir, V Sehwag, CA Pujara, SR Tendulkar, V Kohli, Yuvraj Singh, MS Dhoni, R Ashwin, Z Khan, I Sharma, PP Ojha"
565809,2012-12-13,2012,Test,India,England,England in India Test Series,,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Draw,,,,JM Anderson,"G Gambhir, V Sehwag, CA Pujara, SR Tendulkar, V Kohli, MS Dhoni, RA Jadeja, R Ashwin, PP Chawla, PP Ojha, I Sharma"
565810,2012-12-20,2012,T20I,India,England,England in India T20I Series,,Subrata Roy Sahara Stadium,Pune,Won,India,5.0,wickets,Yuvraj Singh,"G Gambhir, AM Rahane, V Kohli, Yuvraj Singh, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, PP Chawla, AB Dinda, P Awana"
565811,2012-12-22,2012,T20I,India,England,England in India T20I Series,,Wankhede Stadium,Mumbai,Lost,England,6.0,wickets,EJG Morgan,"G Gambhir, AM Rahane, V Kohli, Yuvraj Singh, RG Sharma, SK Raina, MS Dhoni, R Ashwin, PP Chawla, AB Dinda, P Awana"
589306,2012-12-25,2012,T20I,India,Pakistan,Pakistan in India T20I Series,,M Chinnaswamy Stadium,Bangalore,Lost,Pakistan,5.0,wickets,Mohammad Hafeez,"G Gambhir, AM Rahane, V Kohli, Yuvraj Singh, MS Dhoni, SK Raina, RG Sharma, RA Jadeja, B Kumar, I Sharma, AB Dinda"
589307,2012-12-28,2012,T20I,India,Pakistan,Pakistan in India T20I Series,,"Sardar Patel Stadium, Motera",Ahmedabad,Won,India,11.0,runs,Yuvraj Singh,"G Gambhir, AM Rahane, V Kohli, Yuvraj Singh, MS Dhoni, SK Raina, RG Sharma, B Kumar, R Ashwin, I Sharma, AB Dinda"
589308,2012-12-30,2012,ODI,India,Pakistan,Pakistan in India ODI Series,,"MA Chidambaram Stadium, Chepauk",Chennai,Lost,Pakistan,6.0,wickets,MS Dhoni,"G Gambhir, V Sehwag, V Kohli, Yuvraj Singh, RG Sharma, SK Raina, MS Dhoni, R Ashwin, B Kumar, I Sharma, AB Dinda"
589309,2013-01-03,2013,ODI,India,Pakistan,Pakistan in India ODI Series,,Eden Gardens,Kolkata,Lost,Pakistan,85.0,runs,Nasir Jamshed,"G Gambhir, V Sehwag, V Kohli, Yuvraj Singh, SK Raina, MS Dhoni, R Ashwin, RA Jadeja, B Kumar, AB Dinda, I Sharma"
589310,2013-01-06,2013,ODI,India,Pakistan,Pakistan in India ODI Series,,Feroz Shah Kotla,Delhi,Won,India,10.0,runs,MS Dhoni,"G Gambhir, AM Rahane, V Kohli, Yuvraj Singh, SK Raina, MS Dhoni, R Ashwin, RA Jadeja, B Kumar, I Sharma, Mohammed Shami"
565812,2013-01-11,2013,ODI,India,England,England in India ODI Series,,Saurashtra Cricket Association Stadium,Rajkot,Lost,England,9.0,runs,JC Tredwell,"AM Rahane, G Gambhir, V Kohli, Yuvraj Singh, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, B Kumar, AB Dinda, I Sharma"
565813,2013-01-15,2013,ODI,India,England,England in India ODI Series,,Nehru Stadium,Kochi,Won,India,127.0,runs,RA Jadeja,"AM Rahane, G Gambhir, V Kohli, Yuvraj Singh, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, B Kumar, I Sharma, Mohammed Shami"
565814,2013-01-19,2013,ODI,India,England,England in India ODI Series,,JSCA International Stadium Complex,Ranchi,Won,India,7.0,wickets,V Kohli,"G Gambhir, AM Rahane, V Kohli, Yuvraj Singh, MS Dhoni, SK Raina, RA Jadeja, R Ashwin, B Kumar, I Sharma, Mohammed Shami"
565815,2013-01-23,2013,ODI,India,England,England in India ODI Series,,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Won,India,5.0,wickets,SK Raina,"G Gambhir, RG Sharma, V Kohli, Yuvraj Singh, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, B Kumar, I Sharma, Mohammed Shami"
